id,topic,topic_kr,question_type,difficulty_min,difficulty_max,question_en,vocab_10,grammar_3,phrases_2,strategy_kr
11,student_no,학생 아님,Description,2,6,"Describe your current life as someone who is not a student. What is it like, and why is it important or interesting to you?",student|graduate|learning|schedule|routine|independent|skill|career|interest|self-study,"There is/are: There are several reasons I like it.|Adjectives: It is quiet, comfortable, and easy to enjoy.|Relative clause: It is a place/activity that helps me relax.",What I like most about it is...|The first thing that comes to mind is...,"주제의 특징을 2~3가지로 나누어 설명하고, 마지막에 내가 좋아하는 이유를 붙이면 답변이 안정적입니다. 학생이 아닌 현재 상태를 설명하고, 대신 어떤 방식으로 배우거나 시간을 보내는지 말하면 좋습니다."
12,student_no,학생 아님,Routine,3,6,"Tell me about your usual routine for spending your time outside of school. When do you usually do it, and what do you normally do?",student|graduate|learning|schedule|routine|independent|skill|career|interest|self-study,"Frequency adverbs: I usually do this on weekends.|After -ing: After finishing my work, I spend time on this.|Sequence words: First, I prepare, and then I enjoy it.",My routine is pretty simple.|I usually start by...,"시간 순서대로 말하면 자연스럽습니다. 언제, 어디서, 무엇을 하는지 순서로 답변하세요. 학생이 아닌 현재 상태를 설명하고, 대신 어떤 방식으로 배우거나 시간을 보내는지 말하면 좋습니다."
13,student_no,학생 아님,Preference,2,6,What do you like most about spending your time outside of school? Explain your preferences with specific examples.,student|graduate|learning|schedule|routine|independent|skill|career|interest|self-study,Prefer to: I prefer to do this when I have free time.|Because: I like it because it helps me relax.|Comparative: It is more comfortable than other options.,"Personally, I prefer...|The main reason is that...","좋아하는 이유를 하나만 말하지 말고 편리함, 분위기, 감정 중 2가지 이상으로 확장하세요. 학생이 아닌 현재 상태를 설명하고, 대신 어떤 방식으로 배우거나 시간을 보내는지 말하면 좋습니다."
14,student_no,학생 아님,Past Experience,4,6,"Tell me about the last time you spent time spending your time outside of school. Where were you, who were you with, and what happened?",student|graduate|learning|schedule|routine|independent|skill|career|interest|self-study,"Past tense: I went there a few months ago.|Past continuous: I was enjoying it when something happened.|Sequence words: First, then, after that, finally.","One experience that comes to mind is...|At first, I thought it would be ordinary, but...","언제, 어디서, 누구와, 무슨 일이 있었는지 말한 뒤 느낀 점으로 마무리하면 좋습니다. 학생이 아닌 현재 상태를 설명하고, 대신 어떤 방식으로 배우거나 시간을 보내는지 말하면 좋습니다."
15,student_no,학생 아님,Memorable Event,4,6,Tell me about a memorable experience related to spending your time outside of school. Why do you still remember it?,student|graduate|learning|schedule|routine|independent|skill|career|interest|self-study,Superlative: It was one of the most memorable experiences.|Because: I remember it because it felt special.|Relative clause: It was an experience that stayed in my mind.,What made it memorable was...|I still remember it clearly because...,"사건 자체보다 왜 기억에 남았는지, 그때 기분이 어땠는지를 강조하면 IH 답변에 가까워집니다. 학생이 아닌 현재 상태를 설명하고, 대신 어떤 방식으로 배우거나 시간을 보내는지 말하면 좋습니다."
16,student_no,학생 아님,Comparison,5,6,How has your experience with spending your time outside of school changed compared to the past? Give specific examples.,student|graduate|learning|schedule|routine|independent|skill|career|interest|self-study,"Compared to: Compared to the past, things are different now.|Used to: I used to do it differently before.|While: While it was simple in the past, it is more varied now.",There has definitely been a change in...|Compared to a few years ago...,"과거와 현재를 각각 설명한 뒤, 변화의 이유와 나의 의견을 붙이면 좋습니다. 학생이 아닌 현재 상태를 설명하고, 대신 어떤 방식으로 배우거나 시간을 보내는지 말하면 좋습니다."
17,student_no,학생 아님,Problem,5,6,"Tell me about a problem you had while spending your time outside of school. What happened, and how did you handle the situation?",student|graduate|learning|schedule|routine|independent|skill|career|interest|self-study,"When clause: When the problem happened, I tried to stay calm.|So: So I decided to solve it step by step.|Past tense: I explained the situation and asked for help.","Things did not go as smoothly as I expected.|Luckily, I was able to handle it by...","문제 발생, 나의 대응, 결과, 교훈 순서로 말하면 고난도 문제도 안정적으로 답할 수 있습니다. 학생이 아닌 현재 상태를 설명하고, 대신 어떤 방식으로 배우거나 시간을 보내는지 말하면 좋습니다."
18,student_no,학생 아님,Role-play,5,6,"I am your friend, and we are going to choose a useful activity to learn something new. Ask me three or four questions to make a plan.",student|graduate|learning|schedule|routine|independent|skill|career|interest|self-study,Indirect question: Could you tell me what time works for you?|Would like to: I would like to know your preference.|Do you have: Do you have any specific plan in mind?,Do you have any preference for...?|Would it be okay if we...?,"질문 3~4개를 연속으로 하되, 시간, 장소, 선호, 예산 또는 준비물 중에서 골라 물어보세요. 학생이 아닌 현재 상태를 설명하고, 대신 어떤 방식으로 배우거나 시간을 보내는지 말하면 좋습니다."
19,student_no,학생 아님,Opinion,5,6,"Some people enjoy spending your time outside of school, while others do not. What is your opinion about this, and why?",student|graduate|learning|schedule|routine|independent|skill|career|interest|self-study,"In my opinion: In my opinion, it depends on the person.|Although: Although there are some disadvantages, it can be helpful.|If clause: If people use it wisely, it can be positive.","From my point of view...|It really depends on the situation, but...","찬반 중 하나만 말하기보다 장점과 단점을 짧게 비교하고 내 입장을 정리하세요. 학생이 아닌 현재 상태를 설명하고, 대신 어떤 방식으로 배우거나 시간을 보내는지 말하면 좋습니다."
20,student_no,학생 아님,Change,5,6,How have people's habits related to spending your time outside of school changed these days? Explain the reasons and give examples.,student|graduate|learning|schedule|routine|independent|skill|career|interest|self-study,"Present perfect: People's habits have changed a lot.|These days: These days, people tend to do it differently.|Due to: Due to technology and lifestyle changes, it has become more common.",This trend has become more common recently.|I think this change is mainly because...,"개인 경험에서 시작해 사회적 변화나 요즘 트렌드로 확장하면 고득점 답변에 유리합니다. 학생이 아닌 현재 상태를 설명하고, 대신 어떤 방식으로 배우거나 시간을 보내는지 말하면 좋습니다."
21,course_over_5_years,수강 후 5년 이상 지남,Description,2,6,"Describe the last class or course you took a long time ago. What is it like, and why is it important or interesting to you?",course|class|lecture|memory|skill|language|certificate|practice|instructor|review,"There is/are: There are several reasons I like it.|Adjectives: It is quiet, comfortable, and easy to enjoy.|Relative clause: It is a place/activity that helps me relax.",What I like most about it is...|The first thing that comes to mind is...,"주제의 특징을 2~3가지로 나누어 설명하고, 마지막에 내가 좋아하는 이유를 붙이면 답변이 안정적입니다. 오래전 수강 경험은 기억나는 수업, 배운 점, 지금과의 차이를 중심으로 답하세요."
22,course_over_5_years,수강 후 5년 이상 지남,Routine,3,6,"Tell me about your usual routine for learning something after a long break from classes. When do you usually do it, and what do you normally do?",course|class|lecture|memory|skill|language|certificate|practice|instructor|review,"Frequency adverbs: I usually do this on weekends.|After -ing: After finishing my work, I spend time on this.|Sequence words: First, I prepare, and then I enjoy it.",My routine is pretty simple.|I usually start by...,"시간 순서대로 말하면 자연스럽습니다. 언제, 어디서, 무엇을 하는지 순서로 답변하세요. 오래전 수강 경험은 기억나는 수업, 배운 점, 지금과의 차이를 중심으로 답하세요."
23,course_over_5_years,수강 후 5년 이상 지남,Preference,2,6,What do you like most about learning something after a long break from classes? Explain your preferences with specific examples.,course|class|lecture|memory|skill|language|certificate|practice|instructor|review,Prefer to: I prefer to do this when I have free time.|Because: I like it because it helps me relax.|Comparative: It is more comfortable than other options.,"Personally, I prefer...|The main reason is that...","좋아하는 이유를 하나만 말하지 말고 편리함, 분위기, 감정 중 2가지 이상으로 확장하세요. 오래전 수강 경험은 기억나는 수업, 배운 점, 지금과의 차이를 중심으로 답하세요."
24,course_over_5_years,수강 후 5년 이상 지남,Past Experience,4,6,"Tell me about the last time you spent time learning something after a long break from classes. Where were you, who were you with, and what happened?",course|class|lecture|memory|skill|language|certificate|practice|instructor|review,"Past tense: I went there a few months ago.|Past continuous: I was enjoying it when something happened.|Sequence words: First, then, after that, finally.","One experience that comes to mind is...|At first, I thought it would be ordinary, but...","언제, 어디서, 누구와, 무슨 일이 있었는지 말한 뒤 느낀 점으로 마무리하면 좋습니다. 오래전 수강 경험은 기억나는 수업, 배운 점, 지금과의 차이를 중심으로 답하세요."
25,course_over_5_years,수강 후 5년 이상 지남,Memorable Event,4,6,Tell me about a memorable experience related to learning something after a long break from classes. Why do you still remember it?,course|class|lecture|memory|skill|language|certificate|practice|instructor|review,Superlative: It was one of the most memorable experiences.|Because: I remember it because it felt special.|Relative clause: It was an experience that stayed in my mind.,What made it memorable was...|I still remember it clearly because...,"사건 자체보다 왜 기억에 남았는지, 그때 기분이 어땠는지를 강조하면 IH 답변에 가까워집니다. 오래전 수강 경험은 기억나는 수업, 배운 점, 지금과의 차이를 중심으로 답하세요."
26,course_over_5_years,수강 후 5년 이상 지남,Comparison,5,6,How has your experience with learning something after a long break from classes changed compared to the past? Give specific examples.,course|class|lecture|memory|skill|language|certificate|practice|instructor|review,"Compared to: Compared to the past, things are different now.|Used to: I used to do it differently before.|While: While it was simple in the past, it is more varied now.",There has definitely been a change in...|Compared to a few years ago...,"과거와 현재를 각각 설명한 뒤, 변화의 이유와 나의 의견을 붙이면 좋습니다. 오래전 수강 경험은 기억나는 수업, 배운 점, 지금과의 차이를 중심으로 답하세요."
27,course_over_5_years,수강 후 5년 이상 지남,Problem,5,6,"Tell me about a problem you had while learning something after a long break from classes. What happened, and how did you handle the situation?",course|class|lecture|memory|skill|language|certificate|practice|instructor|review,"When clause: When the problem happened, I tried to stay calm.|So: So I decided to solve it step by step.|Past tense: I explained the situation and asked for help.","Things did not go as smoothly as I expected.|Luckily, I was able to handle it by...","문제 발생, 나의 대응, 결과, 교훈 순서로 말하면 고난도 문제도 안정적으로 답할 수 있습니다. 오래전 수강 경험은 기억나는 수업, 배운 점, 지금과의 차이를 중심으로 답하세요."
28,course_over_5_years,수강 후 5년 이상 지남,Role-play,5,6,"I am your friend, and we are going to find a class to take after a long break. Ask me three or four questions to make a plan.",course|class|lecture|memory|skill|language|certificate|practice|instructor|review,Indirect question: Could you tell me what time works for you?|Would like to: I would like to know your preference.|Do you have: Do you have any specific plan in mind?,Do you have any preference for...?|Would it be okay if we...?,"질문 3~4개를 연속으로 하되, 시간, 장소, 선호, 예산 또는 준비물 중에서 골라 물어보세요. 오래전 수강 경험은 기억나는 수업, 배운 점, 지금과의 차이를 중심으로 답하세요."
29,course_over_5_years,수강 후 5년 이상 지남,Opinion,5,6,"Some people enjoy learning something after a long break from classes, while others do not. What is your opinion about this, and why?",course|class|lecture|memory|skill|language|certificate|practice|instructor|review,"In my opinion: In my opinion, it depends on the person.|Although: Although there are some disadvantages, it can be helpful.|If clause: If people use it wisely, it can be positive.","From my point of view...|It really depends on the situation, but...","찬반 중 하나만 말하기보다 장점과 단점을 짧게 비교하고 내 입장을 정리하세요. 오래전 수강 경험은 기억나는 수업, 배운 점, 지금과의 차이를 중심으로 답하세요."
30,course_over_5_years,수강 후 5년 이상 지남,Change,5,6,How have people's habits related to learning something after a long break from classes changed these days? Explain the reasons and give examples.,course|class|lecture|memory|skill|language|certificate|practice|instructor|review,"Present perfect: People's habits have changed a lot.|These days: These days, people tend to do it differently.|Due to: Due to technology and lifestyle changes, it has become more common.",This trend has become more common recently.|I think this change is mainly because...,"개인 경험에서 시작해 사회적 변화나 요즘 트렌드로 확장하면 고득점 답변에 유리합니다. 오래전 수강 경험은 기억나는 수업, 배운 점, 지금과의 차이를 중심으로 답하세요."
31,home,개인주택이나 아파트에 홀로 거주,Description,2,6,"Describe your home where you live alone. What is it like, and why is it important or interesting to you?",home|apartment|private|quiet|comfortable|room|kitchen|neighborhood|independent|space,"There is/are: There are several reasons I like it.|Adjectives: It is quiet, comfortable, and easy to enjoy.|Relative clause: It is a place/activity that helps me relax.",What I like most about it is...|The first thing that comes to mind is...,"주제의 특징을 2~3가지로 나누어 설명하고, 마지막에 내가 좋아하는 이유를 붙이면 답변이 안정적입니다. 집 구조 묘사에서 끝내지 말고 혼자 살아서 좋은 점과 일상 루틴을 연결하세요."
32,home,개인주택이나 아파트에 홀로 거주,Routine,3,6,"Tell me about your usual routine for spending time at home by yourself. When do you usually do it, and what do you normally do?",home|apartment|private|quiet|comfortable|room|kitchen|neighborhood|independent|space,"Frequency adverbs: I usually do this on weekends.|After -ing: After finishing my work, I spend time on this.|Sequence words: First, I prepare, and then I enjoy it.",My routine is pretty simple.|I usually start by...,"시간 순서대로 말하면 자연스럽습니다. 언제, 어디서, 무엇을 하는지 순서로 답변하세요. 집 구조 묘사에서 끝내지 말고 혼자 살아서 좋은 점과 일상 루틴을 연결하세요."
33,home,개인주택이나 아파트에 홀로 거주,Preference,2,6,What do you like most about spending time at home by yourself? Explain your preferences with specific examples.,home|apartment|private|quiet|comfortable|room|kitchen|neighborhood|independent|space,Prefer to: I prefer to do this when I have free time.|Because: I like it because it helps me relax.|Comparative: It is more comfortable than other options.,"Personally, I prefer...|The main reason is that...","좋아하는 이유를 하나만 말하지 말고 편리함, 분위기, 감정 중 2가지 이상으로 확장하세요. 집 구조 묘사에서 끝내지 말고 혼자 살아서 좋은 점과 일상 루틴을 연결하세요."
34,home,개인주택이나 아파트에 홀로 거주,Past Experience,4,6,"Tell me about the last time you spent time spending time at home by yourself. Where were you, who were you with, and what happened?",home|apartment|private|quiet|comfortable|room|kitchen|neighborhood|independent|space,"Past tense: I went there a few months ago.|Past continuous: I was enjoying it when something happened.|Sequence words: First, then, after that, finally.","One experience that comes to mind is...|At first, I thought it would be ordinary, but...","언제, 어디서, 누구와, 무슨 일이 있었는지 말한 뒤 느낀 점으로 마무리하면 좋습니다. 집 구조 묘사에서 끝내지 말고 혼자 살아서 좋은 점과 일상 루틴을 연결하세요."
35,home,개인주택이나 아파트에 홀로 거주,Memorable Event,4,6,Tell me about a memorable experience related to spending time at home by yourself. Why do you still remember it?,home|apartment|private|quiet|comfortable|room|kitchen|neighborhood|independent|space,Superlative: It was one of the most memorable experiences.|Because: I remember it because it felt special.|Relative clause: It was an experience that stayed in my mind.,What made it memorable was...|I still remember it clearly because...,"사건 자체보다 왜 기억에 남았는지, 그때 기분이 어땠는지를 강조하면 IH 답변에 가까워집니다. 집 구조 묘사에서 끝내지 말고 혼자 살아서 좋은 점과 일상 루틴을 연결하세요."
36,home,개인주택이나 아파트에 홀로 거주,Comparison,5,6,How has your experience with spending time at home by yourself changed compared to the past? Give specific examples.,home|apartment|private|quiet|comfortable|room|kitchen|neighborhood|independent|space,"Compared to: Compared to the past, things are different now.|Used to: I used to do it differently before.|While: While it was simple in the past, it is more varied now.",There has definitely been a change in...|Compared to a few years ago...,"과거와 현재를 각각 설명한 뒤, 변화의 이유와 나의 의견을 붙이면 좋습니다. 집 구조 묘사에서 끝내지 말고 혼자 살아서 좋은 점과 일상 루틴을 연결하세요."
37,home,개인주택이나 아파트에 홀로 거주,Problem,5,6,"Tell me about a problem you had while spending time at home by yourself. What happened, and how did you handle the situation?",home|apartment|private|quiet|comfortable|room|kitchen|neighborhood|independent|space,"When clause: When the problem happened, I tried to stay calm.|So: So I decided to solve it step by step.|Past tense: I explained the situation and asked for help.","Things did not go as smoothly as I expected.|Luckily, I was able to handle it by...","문제 발생, 나의 대응, 결과, 교훈 순서로 말하면 고난도 문제도 안정적으로 답할 수 있습니다. 집 구조 묘사에서 끝내지 말고 혼자 살아서 좋은 점과 일상 루틴을 연결하세요."
38,home,개인주택이나 아파트에 홀로 거주,Role-play,5,6,"I am your friend, and we are going to visit your home this weekend. Ask me three or four questions to make a plan.",home|apartment|private|quiet|comfortable|room|kitchen|neighborhood|independent|space,Indirect question: Could you tell me what time works for you?|Would like to: I would like to know your preference.|Do you have: Do you have any specific plan in mind?,Do you have any preference for...?|Would it be okay if we...?,"질문 3~4개를 연속으로 하되, 시간, 장소, 선호, 예산 또는 준비물 중에서 골라 물어보세요. 집 구조 묘사에서 끝내지 말고 혼자 살아서 좋은 점과 일상 루틴을 연결하세요."
39,home,개인주택이나 아파트에 홀로 거주,Opinion,5,6,"Some people enjoy spending time at home by yourself, while others do not. What is your opinion about this, and why?",home|apartment|private|quiet|comfortable|room|kitchen|neighborhood|independent|space,"In my opinion: In my opinion, it depends on the person.|Although: Although there are some disadvantages, it can be helpful.|If clause: If people use it wisely, it can be positive.","From my point of view...|It really depends on the situation, but...",찬반 중 하나만 말하기보다 장점과 단점을 짧게 비교하고 내 입장을 정리하세요. 집 구조 묘사에서 끝내지 말고 혼자 살아서 좋은 점과 일상 루틴을 연결하세요.
40,home,개인주택이나 아파트에 홀로 거주,Change,5,6,How have people's habits related to spending time at home by yourself changed these days? Explain the reasons and give examples.,home|apartment|private|quiet|comfortable|room|kitchen|neighborhood|independent|space,"Present perfect: People's habits have changed a lot.|These days: These days, people tend to do it differently.|Due to: Due to technology and lifestyle changes, it has become more common.",This trend has become more common recently.|I think this change is mainly because...,개인 경험에서 시작해 사회적 변화나 요즘 트렌드로 확장하면 고득점 답변에 유리합니다. 집 구조 묘사에서 끝내지 말고 혼자 살아서 좋은 점과 일상 루틴을 연결하세요.
41,movies,영화 보기,Description,2,6,"Describe the kinds of movies you enjoy watching. What is it like, and why is it important or interesting to you?",movie|genre|plot|character|scene|actor|director|ending|streaming|recommend,"There is/are: There are several reasons I like it.|Adjectives: It is quiet, comfortable, and easy to enjoy.|Relative clause: It is a place/activity that helps me relax.",What I like most about it is...|The first thing that comes to mind is...,"주제의 특징을 2~3가지로 나누어 설명하고, 마지막에 내가 좋아하는 이유를 붙이면 답변이 안정적입니다. 영화 줄거리보다 장르 선호, 기억나는 장면, 감정 반응을 함께 말하세요."
42,movies,영화 보기,Routine,3,6,"Tell me about your usual routine for watching movies. When do you usually do it, and what do you normally do?",movie|genre|plot|character|scene|actor|director|ending|streaming|recommend,"Frequency adverbs: I usually do this on weekends.|After -ing: After finishing my work, I spend time on this.|Sequence words: First, I prepare, and then I enjoy it.",My routine is pretty simple.|I usually start by...,"시간 순서대로 말하면 자연스럽습니다. 언제, 어디서, 무엇을 하는지 순서로 답변하세요. 영화 줄거리보다 장르 선호, 기억나는 장면, 감정 반응을 함께 말하세요."
43,movies,영화 보기,Preference,2,6,What do you like most about watching movies? Explain your preferences with specific examples.,movie|genre|plot|character|scene|actor|director|ending|streaming|recommend,Prefer to: I prefer to do this when I have free time.|Because: I like it because it helps me relax.|Comparative: It is more comfortable than other options.,"Personally, I prefer...|The main reason is that...","좋아하는 이유를 하나만 말하지 말고 편리함, 분위기, 감정 중 2가지 이상으로 확장하세요. 영화 줄거리보다 장르 선호, 기억나는 장면, 감정 반응을 함께 말하세요."
44,movies,영화 보기,Past Experience,4,6,"Tell me about the last time you spent time watching movies. Where were you, who were you with, and what happened?",movie|genre|plot|character|scene|actor|director|ending|streaming|recommend,"Past tense: I went there a few months ago.|Past continuous: I was enjoying it when something happened.|Sequence words: First, then, after that, finally.","One experience that comes to mind is...|At first, I thought it would be ordinary, but...","언제, 어디서, 누구와, 무슨 일이 있었는지 말한 뒤 느낀 점으로 마무리하면 좋습니다. 영화 줄거리보다 장르 선호, 기억나는 장면, 감정 반응을 함께 말하세요."
45,movies,영화 보기,Memorable Event,4,6,Tell me about a memorable experience related to watching movies. Why do you still remember it?,movie|genre|plot|character|scene|actor|director|ending|streaming|recommend,Superlative: It was one of the most memorable experiences.|Because: I remember it because it felt special.|Relative clause: It was an experience that stayed in my mind.,What made it memorable was...|I still remember it clearly because...,"사건 자체보다 왜 기억에 남았는지, 그때 기분이 어땠는지를 강조하면 IH 답변에 가까워집니다. 영화 줄거리보다 장르 선호, 기억나는 장면, 감정 반응을 함께 말하세요."
46,movies,영화 보기,Comparison,5,6,How has your experience with watching movies changed compared to the past? Give specific examples.,movie|genre|plot|character|scene|actor|director|ending|streaming|recommend,"Compared to: Compared to the past, things are different now.|Used to: I used to do it differently before.|While: While it was simple in the past, it is more varied now.",There has definitely been a change in...|Compared to a few years ago...,"과거와 현재를 각각 설명한 뒤, 변화의 이유와 나의 의견을 붙이면 좋습니다. 영화 줄거리보다 장르 선호, 기억나는 장면, 감정 반응을 함께 말하세요."
47,movies,영화 보기,Problem,5,6,"Tell me about a problem you had while watching movies. What happened, and how did you handle the situation?",movie|genre|plot|character|scene|actor|director|ending|streaming|recommend,"When clause: When the problem happened, I tried to stay calm.|So: So I decided to solve it step by step.|Past tense: I explained the situation and asked for help.","Things did not go as smoothly as I expected.|Luckily, I was able to handle it by...","문제 발생, 나의 대응, 결과, 교훈 순서로 말하면 고난도 문제도 안정적으로 답할 수 있습니다. 영화 줄거리보다 장르 선호, 기억나는 장면, 감정 반응을 함께 말하세요."
48,movies,영화 보기,Role-play,5,6,"I am your friend, and we are going to watch a movie together this weekend. Ask me three or four questions to make a plan.",movie|genre|plot|character|scene|actor|director|ending|streaming|recommend,Indirect question: Could you tell me what time works for you?|Would like to: I would like to know your preference.|Do you have: Do you have any specific plan in mind?,Do you have any preference for...?|Would it be okay if we...?,"질문 3~4개를 연속으로 하되, 시간, 장소, 선호, 예산 또는 준비물 중에서 골라 물어보세요. 영화 줄거리보다 장르 선호, 기억나는 장면, 감정 반응을 함께 말하세요."
49,movies,영화 보기,Opinion,5,6,"Some people enjoy watching movies, while others do not. What is your opinion about this, and why?",movie|genre|plot|character|scene|actor|director|ending|streaming|recommend,"In my opinion: In my opinion, it depends on the person.|Although: Although there are some disadvantages, it can be helpful.|If clause: If people use it wisely, it can be positive.","From my point of view...|It really depends on the situation, but...","찬반 중 하나만 말하기보다 장점과 단점을 짧게 비교하고 내 입장을 정리하세요. 영화 줄거리보다 장르 선호, 기억나는 장면, 감정 반응을 함께 말하세요."
50,movies,영화 보기,Change,5,6,How have people's habits related to watching movies changed these days? Explain the reasons and give examples.,movie|genre|plot|character|scene|actor|director|ending|streaming|recommend,"Present perfect: People's habits have changed a lot.|These days: These days, people tend to do it differently.|Due to: Due to technology and lifestyle changes, it has become more common.",This trend has become more common recently.|I think this change is mainly because...,"개인 경험에서 시작해 사회적 변화나 요즘 트렌드로 확장하면 고득점 답변에 유리합니다. 영화 줄거리보다 장르 선호, 기억나는 장면, 감정 반응을 함께 말하세요."
